num_leaves	min_data_in_leaf	learning_rate	feature_fraction	bagging_fraction	bagging_freq	lambda_l2	AUC	best_iter
31	500	0.01	0.5	1	1	1	0.932566231858348	917
31	500	0.01	0.7	0.75	1	0	0.931412528049166	763
31	500	0.01	0.7	0.75	1	1	0.9317030014783	837
31	500	0.01	0.7	0.9	1	0	0.931975858869732	826
31	500	0.01	0.7	0.9	1	1	0.932080222141735	840
31	500	0.01	0.7	1	1	0	0.931826877311538	812
31	500	0.01	0.7	1	1	1	0.931321882148278	775
31	500	0.02	0.5	0.75	1	0	0.932694551677691	465
31	500	0.02	0.5	0.75	1	1	0.931899275442658	410
31	500	0.02	0.5	0.9	1	0	0.933190439329123	404
31	500	0.02	0.5	0.9	1	1	0.931687367346946	429
31	500	0.02	0.5	1	1	0	0.932111999652016	341
31	500	0.02	0.5	1	1	1	0.932329298146872	481
31	500	0.02	0.7	0.75	1	0	0.931695227711158	371
31	500	0.02	0.7	0.75	1	1	0.931461625695354	384
31	500	0.02	0.7	0.9	1	0	0.931661620486807	358
31	500	0.02	0.7	0.9	1	1	0.931426172566863	306
31	500	0.02	0.7	1	1	0	0.931469711518588	339
31	500	0.02	0.7	1	1	1	0.931841253006545	354
31	800	0.01	0.5	0.75	1	0	0.932123520332547	965
31	800	0.01	0.5	0.75	1	1	0.932033435627672	1132
31	800	0.01	0.5	0.9	1	0	0.932593852477512	777
31	800	0.01	0.5	0.9	1	1	0.931891214972608	805
31	800	0.01	0.5	1	1	0	0.932186705841738	809
31	800	0.01	0.5	1	1	1	0.932021103246627	766
31	800	0.01	0.7	0.75	1	0	0.93140616412651	850
31	800	0.01	0.7	0.75	1	1	0.932662912899693	981
31	800	0.01	0.7	0.9	1	0	0.931566257782261	759
31	800	0.01	0.7	0.9	1	1	0.931927663036133	756
31	800	0.01	0.7	1	1	0	0.931331609860189	835
31	800	0.01	0.7	1	1	1	0.932183204873434	747
31	800	0.02	0.5	0.75	1	0	0.930609451969986	500
31	800	0.02	0.5	0.75	1	1	0.931919914411151	500
31	800	0.02	0.5	0.9	1	0	0.931537091061532	391
31	800	0.02	0.5	0.9	1	1	0.931638222900146	423
31	800	0.02	0.5	1	1	0	0.932392436235087	421
31	800	0.02	0.5	1	1	1	0.932600079863468	404
31	800	0.02	0.7	0.75	1	0	0.931506168153646	439
31	800	0.02	0.7	0.75	1	1	0.930917594933094	359
31	800	0.02	0.7	0.9	1	0	0.932014262517173	350
31	800	0.02	0.7	0.9	1	1	0.931401100382406	425
31	800	0.02	0.7	1	1	0	0.931756088550264	392
31	800	0.02	0.7	1	1	1	0.931079668700148	428
