num_leaves	min_data_in_leaf	learning_rate	feature_fraction	bagging_fraction	bagging_freq	lambda_l2	max_depth	min_gain_to_split	AUC	best_iter
31	500	0.02	0.5	0.9	1	0	-1	0.01	0.93256360323888	422
31	500	0.02	0.5	0.9	1	0	8	0	0.931932586636804	482
31	500	0.02	0.5	0.9	1	0	8	0.01	0.93264812125561	500
31	500	0.02	0.6	0.75	1	0	-1	0	0.932243283812754	399
31	500	0.02	0.6	0.75	1	0	-1	0.01	0.932942798884821	419
31	500	0.02	0.6	0.75	1	0	8	0	0.932616985937858	530
31	500	0.02	0.6	0.75	1	0	8	0.01	0.932408769657677	407
31	500	0.02	0.6	0.9	1	0	-1	0	0.932540664658593	334
31	500	0.02	0.6	0.9	1	0	-1	0.01	0.931503381592442	372
31	500	0.02	0.6	0.9	1	0	8	0	0.933435957111679	464
31	500	0.02	0.6	0.9	1	0	8	0.01	0.932644879037085	461
